name,description,url,image
magna,stacking chair plastic 4016,/en/products/magna-stacking-chair-plastic/?variant=4016,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/68140_lm_product_grid_XXXX_Magna_4016_Lava_Chrome_Remix2-133_weiss_RGB_XL.jpg.webp?itok=IrhCOoeS
milanolight comfort,Upholstered chair 5228,/en/products/milanolight-comfort-upholstered-chair/?variant=5228,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63435_lm_product_grid_0002_milanolight_comfort_5228_XL.jpg.webp?itok=3rcwD-8m
mudra,Stacking chair 8804,/en/products/mudra-stacking-chair/?variant=8804,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/95814_Brunner_mudra_8804_ProdctgridImage_XL.jpg.webp?itok=2OMOCfsr
nate,Bar stool 7601,/en/products/nate-bar-stool/?variant=7601,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/90332_lm_product_grid_nate_7601_ohne_Schatten_XL.jpg.webp?itok=GmmwnASJ
nate s,Bar stool 7701,/en/products/nate-s-bar-stool/?variant=7701,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/90469_lm_product_grid_nate_s_7701_ohne_Schatten_XL.jpg.webp?itok=RPER6KT5
oval,Single-seater 1501-0300,/en/products/oval-single-seater/?variant=1501-0300,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/105051_Brunner_lm_product_grid_oval_1501-0300_XL.jpg.webp?itok=wBrymB8A
oval,Bench 1502-0120,/en/products/oval-bench/?variant=1502-0120,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/105040_Brunner_lm_product_grid_oval_1502-0120_XL.jpg.webp?itok=MnS5vQ7o
oval,Lounge system 1505-1150,/en/products/oval-lounge-system/?variant=1505-1150,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/105045_Brunner_lm_product_grid_oval_1505-1150_XL.jpg.webp?itok=AdFWm9e1
oval,Cabin 1530-0100,/en/products/oval-cabin/?variant=1530-0100,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/105048_Brunner_lm_product_grid_oval_1530-0100_XL.jpg.webp?itok=nWTat2WL
pads,Stool 1400-0310,/en/products/pads-stool/?variant=1400-0310,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/91176_lm_product_grid_pads_1400-0310_XL.jpg.webp?itok=CroVmhsq
pads,Lounge chair 1420-0120,/en/products/pads-lounge-stool/?variant=1420-0120,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/images/1420-0120-110359_brunner_pads_1420-0120_im_product_grid_xl.jpg.webp?itok=a1_1orqs
pheno,Cantilever chair 1076,/en/products/pheno-cantilever-chair/?variant=1076,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63445_lm_product_grid_0000_pheno_1076A_Freisteller_XL.jpg.webp?itok=RYl5LnaW
